left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,0,28,14,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,55,51,0,0,0,0,0,0,0,0,0,0,134,50,0,0,0,0,0,0,0,0,0,0,28,66,0,0,0,0,0,0,0,0,0,0,15,61,19,0,0,0,0,0,0,0,0,0,26,71,13,0,0,0,0,0,0,0,0,0,78,117,0,0,0,forward
0,0,0,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,51,47,0,0,0,0,0,0,0,0,0,3,110,50,0,0,0,0,0,0,0,0,0,0,32,66,0,0,0,0,0,0,0,0,0,0,18,63,15,0,0,0,0,0,0,0,0,0,24,66,11,0,0,0,0,0,0,0,0,0,80,107,0,0,0,forward
13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,70,0,15,0,4,16,0,0,0,6,3,28,64,0,0,0,0,4,0,0,0,0,0,53,54,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
0,31,25,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,110,13,13,0,0,0,0,0,0,0,0,0,32,23,5,0,0,0,0,0,0,0,0,0,0,21,37,26,0,0,0,0,3,0,0,0,5,0,24,36,0,0,0,0,0,0,0,0,0,0,58,37,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
10,36,20,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,119,14,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,36,42,20,0,0,0,0,4,0,0,0,0,8,31,44,0,0,0,0,4,0,0,0,0,0,67,47,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
25,40,31,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,92,11,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,63,48,0,0,0,0,0,15,0,0,0,4,16,41,40,0,0,0,0,12,0,0,0,0,6,69,52,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,backward
18,33,27,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,10,0,0,0,3,15,42,28,0,0,0,0,0,0,0,0,0,9,90,67,0,0,0,0,16,0,0,0,0,63,28,30,0,0,0,0,0,0,0,0,backward
20,27,15,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,41,17,0,0,0,0,0,11,0,0,0,7,17,45,34,0,0,0,0,3,0,0,0,0,11,88,68,0,0,0,0,10,0,0,0,0,63,32,45,0,0,0,0,0,0,0,0,backward
0,31,33,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,84,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,40,48,9,0,0,0,0,0,0,0,0,0,11,31,28,0,0,0,0,0,0,0,0,0,0,68,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,backward
0,31,36,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,0,0,0,0,0,85,0,10,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,53,56,14,0,0,0,0,0,0,0,0,0,11,35,32,0,0,0,0,0,0,0,0,0,8,72,43,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,backward
0,35,36,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,81,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,67,66,36,0,0,0,0,6,0,0,0,0,13,50,48,0,0,0,0,0,0,0,0,0,12,83,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
11,41,36,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,47,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,66,67,46,0,0,0,0,8,0,0,0,0,16,48,45,0,0,0,0,4,0,0,0,0,8,78,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward
20,52,43,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,0,0,0,0,0,0,0,0,0,0,7,24,16,0,0,0,0,0,0,0,0,0,0,64,37,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,8,6,0,0,0,backward
49,0,0,7,16,38,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,strafe_left
47,0,0,0,12,30,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,31,0,0,0,strafe_left
73,3,0,0,10,27,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,28,0,0,0,strafe_left
50,0,0,0,12,35,39,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,23,0,0,0,strafe_left
40,0,0,0,0,36,53,64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,25,0,0,0,strafe_left
30,0,0,0,0,18,47,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,26,0,0,0,strafe_left
39,0,0,4,30,50,46,55,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,26,0,0,0,strafe_left
24,0,0,0,0,20,42,84,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,25,0,0,0,strafe_left
13,0,0,0,0,27,47,90,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,32,0,0,0,strafe_left
40,0,0,0,34,56,47,52,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,35,0,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,24,0,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0,0,0,0,21,0,0,0,0,0,0,16,0,0,0,4,33,0,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,43,36,0,0,0,0,26,0,0,0,0,0,0,16,0,0,0,14,39,0,0,0,strafe_left
39,0,0,6,45,65,54,61,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,20,0,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,strafe_left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,57,38,23,0,0,0,0,20,7,0,0,0,0,0,13,44,0,61,59,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,5,0,0,0,0,0,0,27,46,18,65,61,49,43,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,6,44,51,12,55,47,39,35,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
