left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,54,77,0,0,0,0,0,0,0,0,0,0,108,118,14,0,0,0,0,0,0,0,0,0,74,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,69,0,0,0,0,0,0,0,0,0,0,68,90,0,0,0,0,0,0,0,0,0,0,9,50,0,0,0,0,0,0,0,0,0,backward,0.5
0,64,104,0,0,0,0,0,0,0,0,0,0,129,146,0,0,0,0,0,0,0,0,0,0,116,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,59,91,0,0,0,0,0,0,0,0,0,0,139,146,0,0,0,0,0,0,0,0,0,0,39,92,0,0,0,0,0,0,0,0,0,backward,1.0
0,65,110,0,0,0,0,0,0,0,0,0,0,132,148,0,0,0,0,0,0,0,0,0,0,118,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,60,89,0,0,0,0,0,0,0,0,0,0,139,147,0,0,0,0,0,0,0,0,0,0,41,92,0,0,0,0,0,0,0,0,0,backward,1.0
0,65,109,0,0,0,0,0,0,0,0,0,0,132,148,0,0,0,0,0,0,0,0,0,0,118,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,60,91,0,0,0,0,0,0,0,0,0,0,140,146,0,0,0,0,0,0,0,0,0,0,42,93,0,0,0,0,0,0,0,0,0,backward,1.0
0,63,106,0,0,0,0,0,0,0,0,0,0,115,141,0,0,0,0,0,0,0,0,0,0,110,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,54,85,0,0,0,0,0,0,0,0,0,0,131,144,0,0,0,0,0,0,0,0,0,0,31,89,0,0,0,0,0,0,0,0,0,backward,1.0
0,47,89,0,0,0,0,10,0,0,0,0,0,77,126,33,0,0,0,0,0,0,0,0,0,57,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60,0,0,0,0,0,0,0,0,0,0,61,96,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,backward,0.5
0,47,90,0,0,0,0,8,0,0,0,0,0,79,127,32,0,0,0,0,0,0,0,0,0,59,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,61,0,0,0,0,0,0,0,0,0,0,55,95,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,backward,0.5
0,49,91,0,0,0,0,6,0,0,0,0,0,80,129,33,0,0,0,0,0,0,0,0,0,59,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,0,0,0,0,0,0,0,0,0,0,56,94,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,backward,0.5
0,46,105,0,0,0,0,0,0,0,0,0,0,121,135,8,0,0,0,0,0,0,0,0,0,99,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,67,87,0,0,0,0,0,0,0,0,0,0,158,135,0,0,0,0,0,0,0,0,0,0,63,90,0,0,0,0,0,0,0,0,0,backward,1.0
0,43,101,0,0,0,0,0,0,0,0,0,0,109,134,10,0,0,0,0,0,0,0,0,0,100,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,60,87,0,0,0,0,0,0,0,0,0,0,149,136,0,0,0,0,0,0,0,0,0,0,64,92,0,0,0,0,0,0,0,0,0,backward,1.0
